CNS,CRANSTON,SAN JACINTO R,RIVERSIDE,-116.841,33.74,1950,US Forest Service
CNT,CONTRA COSTA,DELTA,CONTRA COSTA,-121.7,37.995,10,US Bureau of Reclamation
CNY,CANYON DAM,FEATHER R,PLUMAS,-121.083,40.167,4560,Pacific Gas & Electric
COL,SACRAMENTO RIVER AT COLUSA,SACRAMENTO R,COLUSA,-122.00025,39.21406,-3,USGS and DWR
CON,CONVERSE,SANTA ANA R,SAN BERNARDINO,-116.913,34.194,5618,US Forest Service
COW,COW CREEK NEAR MILLVILLE,SACRAMENTO R,SHASTA,-122.23306,40.50488,385,USGS and DWR
COY,COYOTE (LAKE MENDOCINO),RUSSIAN R,MENDOCINO,-123.186,39.197,720,US Army Corps of Engineers
CP9,CAMP 9,SANTA CLARA R,LOS ANGELES,-118.4186,34.3532,3998,Los Angeles County Fire Dept
CPL,CAPLES LAKE (PG&E),AMERICAN R,ALPINE,-120.048,38.707,7800,El Dorado Irrigation District
CPP,CORDELIA PUMPING PLANT (KG002111),DELTA,SOLANO,-122.1347,38.2276,2,CA Dept of Water Resources/O & M
CPT,CAPLES (TWIN) LAKE,AMERICAN R,ALPINE,-120.033,38.7,8000,National Weather Service
CRG,CORNING AIRPORT,SACRAMENTO R,TEHAMA,-122.17,39.939,294,CAL FIRE
CRI,CAHILL RIDGE,SAN MATEO CREEK,SAN MATEO,-122.374,37.5102,1044,San Francisco PUC
CRK,CLARK TRAINING CENTER,SAN JACINTO R,RIVERSIDE,-117.3042,33.8772,1720,CAL FIRE
CRL,CHARLOTTE LAKE,KINGS R,FRESNO,-118.42661,36.77773,10400,CA Dept of Water Resources/Snow Surveys
CRR,CRANE VALLEY RESERVOIR (PG&E),SAN JOAQUIN R,MADERA,-119.526,37.291,3400,Pacific Gas & Electric
CRS,MERCED RIVER AT CRESSY,MERCED R,MERCED,-120.663,37.425,165,CA Dept of Water Resources
CRV,CRANE VALLEY PH,SAN JOAQUIN R,MADERA,-119.53,37.29,3400,Pacific Gas & Electric
CSC,CRYSTAL SPRINGS COTTAGE,SAN MATEO CREEK,SAN MATEO,-122.329,37.496,343,San Francisco PUC
CSH,CASHMAN,FEATHER R,PLUMAS,-120.916,40.0019,4520,National Park Service
CSL,CENT SIERRA SNOW LAB,YUBA R,NEVADA,-120.367,39.325,6900,Natural Resources Conservation Service
CSM,COOSKIE MOUNTAIN,MATTOLE R,HUMBOLDT,-124.25,40.258,2950,US Forest Service
CSO,CASTAIC LAKE OUTLET (CAS00000),SANTA CLARA R,LOS ANGELES,-118.611,34.527,1535,CA Dept of Water Resources/O & M
CSS,CASE SPRINGS PENDLETON,SANTA MARGARITA R,SAN DIEGO,-117.418,33.445,2320,US Marine Corps
CST,COHASSET,SACRAMENTO R,BUTTE,-121.77055,39.87528,1600,CAL FIRE
CSU,CALIFORNIA STATE UNIV AT SACRAMENTO,AMERICAN R,SACRAMENTO,-121.416,38.555,25,National Weather Service
CSV,CASA VIEJA MEADOWS,KERN R,TULARE,-118.27163,36.19844,8300,CA Dept of Water Resources/Snow Surveys
CTG,COURTRIGHT (PG&E),KINGS R,FRESNO,-118.967,37.072,8192,Pacific Gas & Electric
CTL,CRESTLINE,MOJAVE R,SAN BERNARDINO,-117.265,34.272,4650,None Specified
CTN,COTTONWOOD CREEK NEAR BEEGUM,COTTONWOOD CR,TEHAMA,-122.881,40.317,3400,US Bureau of Reclamation
CVR,CATHEY'S VALLEY,SAN JOAQUIN R,MARIPOSA,-120.0769,37.3803,1200,CAL FIRE
CVS,CALAVERAS RANGER STATION,MOKELUMNE R,CALAVERAS,-120.367,38.198,3360,US Bureau of Reclamation
CVT,CALAVERAS BIG TREES,STANISLAUS R,CALAVERAS,-120.317,38.283,4695,National Weather Service
CVW,CRESTVIEW,OWENS R,MONO,-118.983,37.745,7600,US Forest Service
CWA,COTTONWOOD CREEK AUXILIARY GAGE,COTTONWOOD CR,TEHAMA,-122.23861,40.3871,364,US Geological Survey
CWD,COTTONWOOD LAKES,OWENS R,INYO,-118.17755,36.48383,10150,CA Dept of Water Resources/Snow Surveys
CWF,CROWDER FLAT,KLAMATH R,MODOC,-120.7519,41.8934,5100,Natural Resources Conservation Service
CX2,DAILY X2 CALCULATION,SF BAY,SAN FRANCISCO,-122.4167,37.8333,0,CA Dept of Water Resources/Flood Management
CXS,CARSON PASS,AMERICAN R,ALPINE,-120.0021,38.6924,8353,Natural Resources Conservation Service
DAN,DANA MEADOWS,TUOLUMNE R,TUOLUMNE,-119.257,37.897,9800,CA Dept of Water Resources/Snow Surveys
DAV,LAKE DAVIS (DWR),FEATHER R,PLUMAS,-120.467,39.883,5768,CA Dept of Water Resources/O & M
DBC,DIABLO CANYON,SAN JOAQUIN R,STANISLAUS,-121.302,37.329,1850,CAL FIRE
DBF,DUBLIN-SAN RAMON FIRE HOUSE,EAST BAY,CONTRA COSTA,-121.927,37.732,355,Contra Costa County
DC2,DEVIL CANYON 2ND AFTERBAY (KA041275),SANTA ANA R,SAN BERNARDINO,-117.3405,34.2305,2000,CA Dept of Water Resources/O & M
DCC,DRY CREEK NEAR COULTERVILLE,MERCED R,MARIPOSA,-120.312,37.654,728,Merced Irrigation District
